player1 | 1550 | Level 2 | 2025-10-22 18:39:11
player1 | 1560 | Level 2 | 2025-10-22 18:39:11
player1 | 1570 | Level 2 | 2025-10-22 18:39:11
player1 | 1580 | Level 2 | 2025-10-22 18:39:11
player1 | 1590 | Level 2 | 2025-10-22 18:39:12
player1 | 1600 | Level 2 | 2025-10-22 18:39:12
player1 | 1610 | Level 2 | 2025-10-22 18:39:12
player1 | 1620 | Level 2 | 2025-10-22 18:39:12
player1 | 1630 | Level 2 | 2025-10-22 18:39:12
player1 | 1640 | Level 2 | 2025-10-22 18:39:12
player1 | 1650 | Level 2 | 2025-10-22 18:39:12
player1 | 1660 | Level 2 | 2025-10-22 18:39:12
player1 | 1670 | Level 2 | 2025-10-22 18:39:12
player1 | 1680 | Level 2 | 2025-10-22 18:39:13
player1 | 1690 | Level 2 | 2025-10-22 18:39:13
player1 | 1700 | Level 2 | 2025-10-22 18:39:13
player1 | 1710 | Level 2 | 2025-10-22 18:39:13
player1 | 1720 | Level 2 | 2025-10-22 18:39:13
player1 | 1730 | Level 2 | 2025-10-22 18:39:13
player1 | 1740 | Level 2 | 2025-10-22 18:39:13
player1 | 1750 | Level 2 | 2025-10-22 18:39:13
player1 | 1760 | Level 2 | 2025-10-22 18:39:13
player1 | 1770 | Level 2 | 2025-10-22 18:39:14
player1 | 1780 | Level 2 | 2025-10-22 18:39:14
player1 | 1790 | Level 2 | 2025-10-22 18:39:14
player1 | 1800 | Level 2 | 2025-10-22 18:39:14
player1 | 1810 | Level 2 | 2025-10-22 18:39:14
player1 | 1820 | Level 2 | 2025-10-22 18:39:14
player1 | 1830 | Level 2 | 2025-10-22 18:39:14
player1 | 1840 | Level 2 | 2025-10-22 18:39:14
player1 | 1850 | Level 2 | 2025-10-22 18:39:14
player1 | 1860 | Level 2 | 2025-10-22 18:39:15
player1 | 1870 | Level 2 | 2025-10-22 18:39:15
player1 | 1880 | Level 2 | 2025-10-22 18:39:15
player1 | 1890 | Level 2 | 2025-10-22 18:39:15
player1 | 1900 | Level 2 | 2025-10-22 18:39:15
player1 | 1910 | Level 2 | 2025-10-22 18:39:15
player1 | 1920 | Level 2 | 2025-10-22 18:39:15
player1 | 1930 | Level 2 | 2025-10-22 18:39:15
player1 | 1940 | Level 2 | 2025-10-22 18:39:15
player1 | 1950 | Level 2 | 2025-10-22 18:39:15
player1 | 1960 | Level 2 | 2025-10-22 18:39:16
player1 | 1970 | Level 2 | 2025-10-22 18:39:16
player1 | 1980 | Level 2 | 2025-10-22 18:39:16
player1 | 1990 | Level 2 | 2025-10-22 18:39:16
player1 | 2000 | Level 2 | 2025-10-22 18:39:16
player1 | 2010 | Level 2 | 2025-10-22 18:39:16
player1 | 2020 | Level 2 | 2025-10-22 18:39:16
player1 | 2030 | Level 2 | 2025-10-22 18:39:16
player1 | 2040 | Level 2 | 2025-10-22 18:39:16
player1 | 2050 | Level 2 | 2025-10-22 18:39:16
player1 | 2060 | Level 2 | 2025-10-22 18:39:17
player1 | 2070 | Level 2 | 2025-10-22 18:39:17
player1 | 2080 | Level 2 | 2025-10-22 18:39:17
player1 | 2090 | Level 2 | 2025-10-22 18:39:17
player1 | 2100 | Level 2 | 2025-10-22 18:39:17
player1 | 2110 | Level 2 | 2025-10-22 18:39:17
player1 | 2120 | Level 2 | 2025-10-22 18:39:17
player1 | 2130 | Level 2 | 2025-10-22 18:39:17
player1 | 2140 | Level 2 | 2025-10-22 18:39:18
player1 | 2150 | Level 2 | 2025-10-22 18:39:18
player1 | 2160 | Level 2 | 2025-10-22 18:39:18
player1 | 2170 | Level 2 | 2025-10-22 18:39:18
player1 | 2180 | Level 2 | 2025-10-22 18:39:18
player1 | 2190 | Level 2 | 2025-10-22 18:39:18
player1 | 2200 | Level 2 | 2025-10-22 18:39:18
player1 | 2210 | Level 2 | 2025-10-22 18:39:18
player1 | 2220 | Level 2 | 2025-10-22 18:39:18
player1 | 2230 | Level 2 | 2025-10-22 18:39:18
player1 | 2240 | Level 2 | 2025-10-22 18:39:19
player1 | 2250 | Level 2 | 2025-10-22 18:39:19
player1 | 2260 | Level 2 | 2025-10-22 18:39:19
player1 | 2270 | Level 2 | 2025-10-22 18:39:19
player1 | 2280 | Level 2 | 2025-10-22 18:39:19
player1 | 2290 | Level 2 | 2025-10-22 18:39:19
player1 | 2300 | Level 2 | 2025-10-22 18:39:19
player1 | 2310 | Level 2 | 2025-10-22 18:39:19
player1 | 2320 | Level 2 | 2025-10-22 18:39:19
player1 | 2330 | Level 2 | 2025-10-22 18:39:19
player1 | 2340 | Level 2 | 2025-10-22 18:39:20
player1 | 2350 | Level 2 | 2025-10-22 18:39:20
player1 | 2360 | Level 2 | 2025-10-22 18:39:20
player1 | 2370 | Level 2 | 2025-10-22 18:39:20
player1 | 2380 | Level 2 | 2025-10-22 18:39:20
player1 | 2390 | Level 2 | 2025-10-22 18:39:20
player1 | 2400 | Level 2 | 2025-10-22 18:39:20
player1 | 2410 | Level 2 | 2025-10-22 18:39:20
player1 | 2420 | Level 2 | 2025-10-22 18:39:20
player1 | 2430 | Level 2 | 2025-10-22 18:39:21
player1 | 2440 | Level 2 | 2025-10-22 18:39:21
